,0 uM,0 uM ,0 uM ,0.1 uM ,0.1 uM ,0.1 uM ,1 uM ,1 uM,1 uM ,10 uM,10 uM,10 uM ,100 uM ,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
478,333,431,433,330.5,369.5,258.5,394.5,391.5,274,266.5,333,334,459,411.5,350,501.5,467,358.5
479,337,446.5,330.5,334.5,396.5,202,390.5,324,269,270.5,337,408,453.5,429.5,351.5,442.5,367.5,309
480,320,380,371,313.5,394,260.5,372,386,258,274.5,320,324.5,422,374.5,280.5,436,438,267.5
481,263.5,379.5,385,371.5,403.5,212,305,345.5,229.5,246,263.5,352,357,317.5,305.5,486,395,273
482,284.5,383,332,290,359,239.5,324.5,360.5,236,254.5,284.5,319.5,413.5,328,329.5,429,361,276
483,265,350,287,320.5,367,161,280.5,304,202,264.5,265,278.5,370,299,311,408.5,410,245
484,297,373,319.5,286.5,368.5,215.5,319,318.5,255,231,297,244.5,309,353.5,274,369.5,381.5,298
485,248.5,335.5,353,270.5,350.5,168,291.5,293,232,216.5,248.5,299.5,359.5,299,271.5,387.5,408.5,242
486,223.5,370,321,286.5,352.5,143,338,318.5,212,196.5,223.5,299.5,344.5,313.5,318,350.5,396.5,209
487,235.5,312.5,310,271,265.5,101,313,262,210.5,211.5,235.5,288.5,311,269,268.5,363,348,207.5
488,261,329.5,270.5,274,306,196,319,285,173.5,177,261,284.5,337,294,213,306,395,181
489,217,334,309.5,273,302,179,302.5,248,169.5,181,217,256.5,277.5,274,272.5,374,322.5,241
490,188.5,284,327.5,240.5,323.5,162,291.5,276,172.5,200.5,188.5,280,299.5,296,243.5,288.5,360.5,192
